Datetime,Close,High,Low,Open,Volume
2026-08-06 00:00:00-04:00,29574.75,29600.0,29541.75,29571.5,4558
2026-08-06 01:00:00-04:00,29580.75,29596.25,29544.25,29575.25,4174
2026-08-06 02:00:00-04:00,29523.0,29581.75,29485.0,29580.0,7486
2026-08-06 03:00:00-04:00,29507.25,29563.0,29500.75,29520.25,5665
2026-08-06 04:00:00-04:00,29517.25,29532.5,29443.75,29507.25,8005
2026-08-06 05:00:00-04:00,29526.75,29531.0,29437.5,29517.25,5002
2026-08-06 06:00:00-04:00,29484.5,29533.75,29468.0,29526.75,4732
2026-08-06 07:00:00-04:00,29467.25,29516.5,29364.75,29484.5,15682
2026-08-06 08:00:00-04:00,29399.5,29476.5,29387.5,29466.0,13761
2026-08-06 09:00:00-04:00,29527.25,29551.0,29241.25,29400.25,93151
2026-08-06 10:00:00-04:00,29656.75,29667.0,29488.0,29528.25,91432
2026-08-06 11:00:00-04:00,29516.25,29686.25,29506.0,29656.5,69666
2026-08-06 12:00:00-04:00,29556.5,29558.5,29448.5,29516.25,51394
2026-08-06 13:00:00-04:00,29529.0,29574.25,29493.75,29557.25,30648
2026-08-06 14:00:00-04:00,29515.5,29575.5,29498.5,29529.0,29793
2026-08-06 15:00:00-04:00,29497.25,29570.25,29475.0,29515.75,47622
2026-08-06 16:00:00-04:00,29504.25,29552.0,29480.25,29497.25,15393
2026-08-06 18:00:00-04:00,29566.0,29574.75,29494.5,29514.25,0
2026-08-06 19:00:00-04:00,29593.25,29603.5,29554.25,29564.75,4014
2026-08-06 20:00:00-04:00,29561.25,29618.75,29497.25,29595.25,11695
2026-08-06 21:00:00-04:00,29526.25,29582.0,29482.5,29561.75,9790
2026-08-06 22:00:00-04:00,29527.0,29548.0,29475.5,29527.0,6484
2026-08-06 23:00:00-04:00,29489.25,29548.0,29486.25,29526.0,3696
2026-08-07 00:00:00-04:00,29511.5,29526.0,29453.5,29496.25,5886
2026-08-07 01:00:00-04:00,29523.5,29556.75,29507.5,29510.75,4201
2026-08-07 02:00:00-04:00,29553.0,29583.5,29520.0,29523.5,6168
2026-08-07 03:00:00-04:00,29583.75,29592.5,29533.0,29552.0,5089
